Ticker,Model,R2,MSE,LSTM_units,Dropout,Epochs,Batch_Size,Seq_Length
AAPL,Baseline,0.8884664100341187,21.083329189962488,75,0.3,70,16,7
AAPL,Extended,0.8970245890051092,19.465566284929128,64,0.2,50,16,7
AMZN,Baseline,0.9181642914340706,34.42348891384064,100,0.3,40,64,6
AMZN,Extended,0.9564325225724152,18.326285707225622,128,0.3,70,16,6
GOOGL,Baseline,0.8148758101458127,25.47034414429517,100,0.2,70,16,15
GOOGL,Extended,0.9239430241505776,10.46430899093599,100,0.25,40,16,15
MSFT,Baseline,0.2742881265975945,64.69779952029307,50,0.2,70,32,7
MSFT,Extended,0.3369763307945969,87.06746755573545,100,0.2,30,16,15
TSLA,Baseline,0.8781243564546591,834.138836752756,128,0.2,70,16,15
TSLA,Extended,0.9349070009577868,531.7550027218928,100,0.25,70,16,10
